   input,  output, for,if,while,Exp,   fc,FNP
0,0,0.0032966,0.001612611,0.00165611,0.00480828,0.003244768,0
0,0,0.00080847,0.00065308,0,0.0029488,0.00303684,1
0,0.00070993,0.00140533,0.00182272,0.00081463,0.00325356,0.00301916,1
0.00034832,0,0.00122428,0.00128835,0.00056221,0.00327543,0.0029729,1
0,0.00079033,0.00170287,0.00160822,0.00074329,0.00288399,0.00279878,0
0,0.00086946,0.00287545,0.00126007,0,0.00334029,0.00261236,1
0.00E+00,0.00E+00,1.37E-03,1.24E-03,2.77E-05,2.97E-03,2.61E-03,1
0.00E+00,0.00E+00,2.19E-03,1.10E-01,1.34E-05,2.58E-03,2.58E-03,0
0,0,0.001601,0.00168613,0.00040499,0.00340603,0.00240259,1
0,0,0.00151374,0.00133159,0.00133159,0.00281815,0.00235626,1
0,0.0333,0.001584,0.00137335,0.00060601,0.00206773,0.00228545,0
0.00E+00,0.00E+00,6.82E-04,7.44E-04,2.51E-05,1.94E-03,2.23E-03,1
0,0.00186617,0.00176617,0.00439487,0.00224706,0.0045775,0.00220775,0
0.00E+00,8.01E-05,7.30E-04,6.26E-04,0.00E+00,2.70E-03,2.19E-03,1
0,0,0.00151374,0.00133159,0.00016543,0.00281815,0.00218924,1
0,0,0.00114297,0.00132656,0.00032447,0.00293866,0.00207189,1
0,0,0.00151374,0.00135338,0.00029502,0.00272437,0.00204523,1
0,0.0000194,0.00091419,0.00028282,0,0.00247446,0.00203896,0
0.00061777,0.00031679,0.00209973,0.00061182,0.00034299,0.00159013,0.00201484,1
0,0,0.00164978,0.00147988,0.00067437,0.00265817,0.00200377,1
0.00061777,0.00029225,0.00193558,0.00025957,0,0.00123302,0.00183586,1
0.00061777,0.00029225,0.00193558,0.00025957,0,0.00123302,0.00183586,1
0.00E+00,0.00E+00,1.80E-03,1.32E-03,5.17E-05,2.61E-03,1.81E-03,1
0,0,0.00407088,0.0008931,0,0.00254471,0.0016598,0
0.00061254,0,0.00197977,0.00071077,0,0.00228415,0.00159535,1
0,0.0049867,0.001454404,0.00118867,0,0.00345177,0.00150221,0
0,0,0.00140321,0.00108967,0,0.00252658,0.00148276,1
0,0,0.00175223,0.0011723,0,0.00276146,0.00147201,1
0,0,0.00194288,0.00138708,0,0.00277076,0.00125002,1
0,0.00156867,0.00212454,0.001554305,0.0018867,0.00206973,0.001231669,0
0,0,0.00166062,0.00114311,0,0.00251374,0.00122791,1
0,0,0.00142952,0.000799881,0.21345,0.00206973,0.00122791,0
0,0,0.00512454,0.00451305,0,0.00206473,0.00121669,0
0,0,0.00158248,0.00113431,0,0.0025646,0.00119252,1
0,0,0.00158248,0.00113431,0,0.0025646,0.00119252,1
0,0,0.00158248,0.00113431,0,0.0025646,0.00119252,1
0.00E+00,1.15E-03,2.44E-03,1.67E-03,0.00E+00,0.00206973,1.17E-03,0
0.00E+00,8.12E-05,3.02E-01,1.67E-03,0.00E+00,2.73E-03,1.17E-03,0
0,0,0.00166062,0.00114311,0,0.00246686,0.00116989,1
0,0.00031217,0.0014696,0.00110367,0,0.00244874,0.00116727,1
0,0.00031298,0.00193751,0.00131649,0,0.0025656,0.00113662,1
0,0,0.0017962,0.00128666,0,0.0025656,0.00113662,1
0,0.0003965,0.00216757,0.00329349,0,0.00206673,0.00111355,0
0,0,0.00154382,0.00111545,0,0.0023598,0.00108016,1
0,0,0.00154382,0.00111545,0,0.0023598,0.00108016,1
